packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio,anomaly_score
12,1011,84.25,0.3838988217440518,0.8673703654803835,3,3,0.3333333333333333,-0.033560097351399254
8,674,84.25,0.3011351653507778,0.7270735797964767,3,2,0.5,-0.12687891818263375
8,674,84.25,0.2867137023380824,0.7023022729925222,3,2,0.5,-0.1299732817384598
8,674,84.25,0.2859998430524553,0.7005536819945882,3,2,0.5,-0.13007342475317257
14,1113,79.5,0.2926996854635385,0.5478408908996155,3,3,0.3333333333333333,-0.009211609717222402
12,1011,84.25,0.3673617189580744,0.8887302483182994,3,3,0.3333333333333333,-0.06593613058029318
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
10,776,77.6,0.2204452090793185,0.4124448931966501,3,2,0.5,-0.013118117792091322
16,1348,84.25,0.2739296595255533,0.5669408940021716,3,4,0.25,0.031194012418354955
10,776,77.6,0.3966904481252034,0.9381438824961904,3,2,0.5,-0.01999797362206651
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
8,674,84.25,0.6024129731314523,1.4756043986050107,3,2,0.5,0.12371552038148803
12,1011,84.25,0.2734086296775124,0.6178216679633134,3,3,0.3333333333333333,-0.059161351732302636
15,1200,80.0,0.27443414075034,0.5323441379051357,4,4,0.2857142857142857,0.2241044374685235
14,1113,79.5,0.312459083703848,0.5936328956494704,3,3,0.3333333333333333,-0.024339942235627354
8,674,84.25,0.1670592853001185,0.4092100057793291,3,2,0.5,-0.07053714292806712
12,1011,84.25,0.191358826377175,0.4062395393132236,3,3,0.3333333333333333,-0.02981823133943634
8,674,84.25,0.4300705705370222,1.053453451203345,3,2,0.5,-0.12520924427592767
10,776,77.6,0.3036258750491672,0.5913545402081515,3,2,0.5,-0.038097319842199384
8,674,84.25,0.311415570122855,0.7628092447589091,3,2,0.5,-0.12008864522035095
8,674,84.25,0.1447847230093819,0.3522065303372803,3,2,0.5,-0.08329299596090506
12,1011,84.25,0.4149741909720681,0.8857670199899605,3,3,0.3333333333333333,0.010125850889481813
10,776,77.6,0.1283802191416422,0.3631140941010809,3,2,0.5,0.01670345125702699
10,776,77.6,0.4403352472517226,0.9486661162126944,3,2,0.5,-0.0031010869031943278
12,1011,84.25,0.3673616539348255,0.8897565539377349,3,3,0.3333333333333333,-0.06530345477741151
8,674,84.25,0.4324978760310581,1.0492336386872934,3,2,0.5,-0.12561379079903373
10,776,77.6,0.4901992215050591,0.9826371089053546,3,2,0.5,0.06719024577235733
8,674,84.25,0.2875704424721854,0.7019556572234921,3,2,0.5,-0.1299732817384598
8,674,84.25,0.4644818646567208,1.137743563185442,3,2,0.5,-0.05160249951553875
10,776,77.6,0.3400521278381347,0.890101927492543,3,2,0.5,-0.041860048444153586
8,674,84.25,0.432640722819737,1.0491782154330018,3,2,0.5,-0.1246372525053539
8,674,84.25,0.1562075955527169,0.3725273073071667,3,2,0.5,-0.08712585305687237
6,439,73.16666666666667,0.3916039943695068,0.7832079887390135,3,1,1.0,0.14257798155202106
8,674,84.25,0.4120795726776123,1.0093846864842866,3,2,0.5,-0.09267034992572815
8,674,84.25,0.5588632992335728,1.3689299190906026,3,2,0.5,0.07666140166366586
12,1011,84.25,0.3053927204825661,0.6588508721584232,3,3,0.3333333333333333,-0.057200869443739644
10,776,77.6,0.2594257725609673,0.6355896148318939,3,2,0.5,-0.03787505101935301
6,439,73.16666666666667,0.0305846214294433,0.0611692428588867,3,1,1.0,0.12336527252793594
12,1011,84.25,0.1933578361164439,0.4044236775731379,3,3,0.3333333333333333,-0.03293978788472085
