packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio
12,1011,84.25,0.3838988217440518,0.8673703654803835,3,3,0.3333333333333333
8,674,84.25,0.3011351653507778,0.7270735797964767,3,2,0.5
8,674,84.25,0.28671370233808247,0.7023022729925222,3,2,0.5
8,674,84.25,0.28599984305245535,0.7005536819945882,3,2,0.5
14,1113,79.5,0.29269968546353853,0.5478408908996155,3,3,0.3333333333333333
12,1011,84.25,0.3673617189580744,0.8887302483182994,3,3,0.3333333333333333
4,337,84.25,0.0,0.0,3,1,1.0
10,776,77.6,0.22044520907931858,0.4124448931966501,3,2,0.5
16,1348,84.25,0.27392965952555337,0.5669408940021716,3,4,0.25
10,776,77.6,0.39669044812520343,0.9381438824961904,3,2,0.5
4,337,84.25,0.0,0.0,3,1,1.0
4,337,84.25,0.0,0.0,3,1,1.0
8,674,84.25,0.6024129731314523,1.4756043986050107,3,2,0.5
12,1011,84.25,0.27340862967751245,0.6178216679633134,3,3,0.3333333333333333
15,1200,80.0,0.27443414075034006,0.5323441379051357,4,4,0.2857142857142857
14,1113,79.5,0.312459083703848,0.5936328956494704,3,3,0.3333333333333333
8,674,84.25,0.16705928530011857,0.4092100057793291,3,2,0.5
12,1011,84.25,0.19135882637717508,0.4062395393132236,3,3,0.3333333333333333
8,674,84.25,0.4300705705370222,1.053453451203345,3,2,0.5
10,776,77.6,0.3036258750491672,0.5913545402081515,3,2,0.5
8,674,84.25,0.31141557012285503,0.7628092447589091,3,2,0.5
8,674,84.25,0.14478472300938197,0.3522065303372803,3,2,0.5
12,1011,84.25,0.4149741909720681,0.8857670199899605,3,3,0.3333333333333333
10,776,77.6,0.12838021914164224,0.3631140941010809,3,2,0.5
10,776,77.6,0.4403352472517226,0.9486661162126944,3,2,0.5
12,1011,84.25,0.36736165393482556,0.8897565539377349,3,3,0.3333333333333333
8,674,84.25,0.43249787603105816,1.0492336386872934,3,2,0.5
10,776,77.6,0.4901992215050591,0.9826371089053546,3,2,0.5
8,674,84.25,0.2875704424721854,0.7019556572234921,3,2,0.5
8,674,84.25,0.46448186465672087,1.137743563185442,3,2,0.5
10,776,77.6,0.34005212783813477,0.890101927492543,3,2,0.5
8,674,84.25,0.43264072281973703,1.0491782154330018,3,2,0.5
8,674,84.25,0.15620759555271693,0.3725273073071667,3,2,0.5
6,439,73.16666666666667,0.3916039943695068,0.7832079887390135,3,1,1.0
8,674,84.25,0.4120795726776123,1.0093846864842866,3,2,0.5
8,674,84.25,0.5588632992335728,1.3689299190906026,3,2,0.5
12,1011,84.25,0.30539272048256616,0.6588508721584232,3,3,0.3333333333333333
10,776,77.6,0.2594257725609673,0.6355896148318939,3,2,0.5
6,439,73.16666666666667,0.03058462142944336,0.06116924285888672,3,1,1.0
12,1011,84.25,0.19335783611644397,0.40442367757313796,3,3,0.3333333333333333
8,674,84.25,0.20346958296639578,0.49839665644455733,3,2,0.5
8,674,84.25,0.30142058644975933,0.7383266347723758,3,2,0.5
18,1450,80.55555555555556,0.22912064720602596,0.42800760984811387,3,4,0.25
8,674,84.25,0.2915684495653425,0.7121556022329819,3,2,0.5
12,1011,84.25,0.27704325589266693,0.6184796286176322,3,3,0.3333333333333333
12,1011,84.25,0.2864929979497736,0.6415903117064261,3,3,0.3333333333333333
14,1113,79.5,0.23334484833937424,0.575371091979843,3,3,0.3333333333333333
10,776,77.6,0.1213836669921875,0.3405069420908936,3,2,0.5
8,674,84.25,0.44492030143737793,1.089827714726857,3,2,0.5
8,674,84.25,0.31298627172197613,0.7565045108790347,3,2,0.5
4,337,84.25,0.0,0.0,3,1,1.0
10,776,77.6,0.2565383381313748,0.6489320663455427,3,2,0.5
4,337,84.25,0.0,0.0,3,1,1.0
8,674,84.25,0.449775014604841,1.1017192848347122,3,2,0.5
4,337,84.25,0.0,0.0,3,1,1.0
6,439,73.16666666666667,0.004397821426391601,0.008795642852783203,3,1,1.0
10,776,77.6,0.3338330056932237,0.7857581490428227,3,2,0.5
8,674,84.25,0.2855714389256069,0.6995043104801069,3,2,0.5
8,674,84.25,0.4266437121800014,1.0450593968078519,3,2,0.5
16,1348,84.25,0.28192559878031415,0.5985826238849669,3,4,0.25
8,674,84.25,0.43535355159214567,1.0663940591091878,3,2,0.5
14,1113,79.5,0.2504900785592886,0.5911943820122625,3,3,0.3333333333333333
8,674,84.25,0.4433495657784598,1.0859802138417134,3,2,0.5
8,674,84.25,0.1484971387045724,0.36374221808950097,3,2,0.5
10,776,77.6,0.36392898029751247,0.7250563462706269,3,2,0.5
6,439,73.16666666666667,0.3418290138244629,0.6836580276489257,3,1,1.0
8,674,84.25,0.4299278599875314,1.0531038831761803,3,2,0.5
16,1348,84.25,0.2292186737060547,0.4625367903918755,3,3,0.5
16,1348,84.25,0.2754621982574463,0.5733116923543984,3,4,0.25
8,674,84.25,0.4349252837044852,1.0653450213112003,3,2,0.5
14,1113,79.5,0.17006875918461725,0.38922632914514477,3,3,0.3333333333333333
8,674,84.25,0.36667370796203613,0.8981634866012821,3,2,0.5
8,674,84.25,0.17334185327802384,0.42459909159954606,3,2,0.5
14,1113,79.5,0.31415053514333874,0.6134157405512671,3,3,0.3333333333333333
10,776,77.6,0.441334777408176,0.9594005329533128,3,2,0.5
12,1011,84.25,0.28385799581354315,0.634731152340769,3,3,0.3333333333333333
12,1011,84.25,0.19054100730202414,0.3981514628797139,3,3,0.3333333333333333
8,674,84.25,0.290283271244594,0.71104589541518,3,2,0.5
8,674,84.25,0.44877556392124723,1.0992711406368314,3,2,0.5
14,1113,79.5,0.16545568979703462,0.32412656307535676,3,3,0.3333333333333333
4,337,84.25,0.0,0.0,3,1,1.0
12,1011,84.25,0.29467082023620605,0.6508643387192866,3,3,0.3333333333333333
14,1113,79.5,0.35651392203110915,0.853256479149924,3,3,0.3333333333333333
8,674,84.25,0.2687227044786726,0.6582335082734636,3,2,0.5
10,776,77.6,0.33349977599249947,0.6249342356915157,3,2,0.5
8,674,84.25,0.42892827306474957,1.0506554052618062,3,2,0.5
16,1348,84.25,0.2950524012247721,0.6241173875744646,3,4,0.25
8,674,84.25,0.3132718290601458,0.7673561319857523,3,2,0.5
10,776,77.6,0.33860845035976833,0.8940540873825151,3,2,0.5
8,674,84.25,0.4346397263663156,1.0646455515403772,3,2,0.5
10,776,77.6,0.33327778180440265,0.696856614042505,3,2,0.5
8,674,84.25,0.15192399706159318,0.3721362724849942,3,2,0.5
8,674,84.25,0.2857142857142857,0.6998542122237652,3,2,0.5
14,1113,79.5,0.23119200192964995,0.5625153030237523,3,3,0.3333333333333333
8,674,84.25,0.42878542627607075,1.0503055035181479,3,2,0.5
12,1011,84.25,0.2023532824082808,0.4293137327443785,3,3,0.3333333333333333
4,337,84.25,0.0,0.0,3,1,1.0
8,674,84.25,0.0,0.0,3,2,0.5
14,1113,79.5,0.1729903771327092,0.3649731467896537,3,3,0.3333333333333333
16,1348,84.25,0.2695984681447347,0.5771680591688345,3,4,0.25
7,509,72.71428571428571,0.3479924996693929,0.5901791090759843,3,1,1.0
4,337,84.25,0.0,0.0,3,1,1.0
12,1011,84.25,0.35309609499844635,0.8756002878005997,3,3,0.3333333333333333
12,1011,84.25,0.34428228031505237,0.7587307533418056,3,3,0.3333333333333333
8,674,84.25,0.4282142775399344,1.0489064805473785,3,2,0.5
8,674,84.25,0.3015634332384382,0.7386765365160342,3,2,0.5
10,776,77.6,0.10550279087490505,0.2984069554470063,3,2,0.5
12,1011,84.25,0.36699819564819336,0.8882592974487941,3,3,0.3333333333333333
6,439,73.16666666666667,0.06176919937133789,0.12353839874267578,3,1,1.0
8,674,84.25,0.45905600275312153,1.1138799470642557,3,2,0.5
12,1011,84.25,0.365090088410811,0.7744731490587488,3,3,0.3333333333333333
8,674,84.25,0.2972798688071115,0.7180348558608958,3,2,0.5
16,1348,84.25,0.20876220067342122,0.4176880811874567,3,4,0.25
4,337,84.25,0.0,0.0,3,1,1.0
8,674,84.25,0.2884271485464914,0.7064993419048307,3,2,0.5
12,1011,84.25,0.3681794513355602,0.7810730708852832,3,3,0.3333333333333333
