step,packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio,anomaly_score,base_threshold,ext_threshold,level,high_risk,consecutive_suspicious,consecutive_extreme,is_extreme,min_packet_gate,phase
1,4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,False,NORMAL
2,4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,False,NORMAL
3,8,674,84.25,0.29277563095092773,0.7163349943904311,3,2,0.5,-0.12776238535725698,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
4,11,930,84.54545454545455,0.3075144290924072,0.6554666070026718,3,3,0.4,-0.04591798546296966,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
5,11,930,84.54545454545455,0.3075144290924072,0.6554666070026718,3,3,0.4,-0.04591798546296966,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
6,12,1011,84.25,0.27964960445057263,0.631144767243646,3,3,0.3333333333333333,-0.06613316095736149,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
7,12,1011,84.25,0.27964960445057263,0.631144767243646,3,3,0.3333333333333333,-0.06613316095736149,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
8,15,1134,75.6,0.27428107602255686,0.6730041220328722,3,3,0.4,0.07193258216916865,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
9,17,1296,76.23529411764706,0.175888791680336,0.48420327533765545,3,4,0.2857142857142857,0.14505073111305256,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
10,17,1296,76.23529411764706,0.175888791680336,0.48420327533765545,3,4,0.2857142857142857,0.14505073111305256,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
11,12,878,73.16666666666667,0.0930651534687389,0.2936658443506449,3,2,0.5,0.17103367556833937,0.1427723112222152,0.1900081828313001,SUSPICIOUS,False,1,0,False,True,NORMAL
12,16,1215,75.9375,0.27305785814921063,0.7900891194294822,3,3,0.3333333333333333,0.10416510429755244,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
13,9,755,83.88888888888889,0.3841438591480255,1.0159713247101159,3,3,0.4,-0.025298023743081488,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
14,7,593,84.71428571428571,0.3420724074045817,0.7648971561836471,3,2,0.6666666666666666,-0.045908876147449484,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
15,7,593,84.71428571428571,0.3420724074045817,0.7648971561836471,3,2,0.6666666666666666,-0.045908876147449484,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
16,12,1011,84.25,0.37226113406094635,0.7896879927482982,3,3,0.3333333333333333,-0.04341545908203942,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
17,8,674,84.25,0.29177686146327425,0.7147044293357587,3,2,0.5,-0.12926814426730804,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
18,8,674,84.25,0.29177686146327425,0.7147044293357587,3,2,0.5,-0.12926814426730804,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
19,8,674,84.25,0.43916518347603933,1.075730612312051,3,3,0.5,-0.07283358507281917,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
20,8,674,84.25,0.43916518347603933,1.075730612312051,3,3,0.5,-0.07283358507281917,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
21,3,256,85.33333333333333,0.0,0.0,2,1,0.0,0.03468923393242518,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,False,NORMAL
22,8,674,84.25,0.40260413714817594,0.9849503516413186,3,2,0.5,-0.09054077608011774,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
23,8,674,84.25,0.40260413714817594,0.9849503516413186,3,2,0.5,-0.09054077608011774,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
24,5,418,83.6,0.0007498264312744141,0.0004329125685361459,3,2,0.6666666666666666,0.06948735176991672,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
25,8,674,84.25,0.4388801710946219,1.0738081157045998,3,3,0.5,-0.07283358507281917,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
26,8,674,84.25,0.4388801710946219,1.0738081157045998,3,3,0.5,-0.07283358507281917,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
27,3,256,85.33333333333333,0.0,0.0,2,1,0.0,0.03468923393242518,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,False,NORMAL
28,7,593,84.71428571428571,0.5123604933420817,1.145672892098223,3,2,0.6666666666666666,0.025185498356491975,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
